ID,Fonte,Gate,Titulo,Descricao,Prioridade,Status,Responsavel,Dependencias,Bloqueio,CriterioAceite,EvidenciaNecessaria,Estimativa_h,DataAlvo,ArquivoReferencia
"EXA-G3-DATA-002","Backlog Linear","G3","Migrar registro OAuth (clientes/tokens do /mcp) para Supabase","Fase 2 do ADR-002: desenhar schema com RLS restrita a service role, implementar SupabaseOAuthStore compatível com KvStore, escrever migracao de dados testada (Neon -> Supabase) com verificacao de paridade, plano de rollback explicito, so entao trocar oauthStore(). Requer acesso de rede a producao para execucao segura - nao escopavel as cegas.","P1","Backlog","Product Owner;Execução assistida (Claude Code)","EXA-G3-DATA-001","Acesso de rede a producao para migracao segura","Paridade de dados verificada linha a linha; rollback testado antes do corte","Script de migração + relatório de paridade + evidência de rollback testado","8","2026-08-05","src/lib/stores.ts;docs/ADR-002_SUPABASE_CANONICAL_PERSISTENCE.md"
"EXA-G3-SEC-002","Backlog Linear","G3","Confirmar presença de variáveis de ambiente de produção","Listar por presença (nunca valor) SUPABASE_URL, SUPABASE_PUBLISHABLE_KEY/ANON_KEY, SUPABASE_SERVICE_ROLE_KEY, DATABASE_URL/POSTGRES_URL/DATABASE_URL_UNPOOLED/POSTGRES_URL_NON_POOLING, ADMIN_PASSWORD no painel Vercel.","P1","Blocked","Product Owner","","Acesso ao painel Vercel (fora desta sessão)","Lista de presença/ausência confirmada","Screenshot ou export do painel Vercel","1","2026-08-03","src/lib/supabase.ts;src/lib/stores.ts"
"EXA-G4-BLOG-001","Backlog Linear","G4","Regressão final do blog em produção","Confirmar deep link, busca, carrossel, SEO e responsividade do EXECUTA Journal em produção real, após os gates anteriores.","P2","Backlog","Execução assistida (Claude Code)","EXA-G1-BE-001","","Sem 404 em deep link; busca e carrossel funcionais; zero violações a11y críticas/sérias","npm run test:web:e2e + verificação manual em produção","2","2026-08-04","web/src/blog/*"
"EXA-G5-QA-001","Backlog Linear","G5","[RESOLVIDO 2026-07-28] Falha intermitente no teste raiz-sem-login","Resolvido por mudança arquitetural, não por correção pontual: a raiz (/) hoje renderiza uma landing pública distinta em vez de redirecionar para /app, eliminando a corrida com /icon.svg. Re-executado nesta auditoria: 8/8 e 39/39 (--repeat-each=3), 0 flaky.","P1","Done","Execução assistida (Claude Code)","","","10/10 execuções consecutivas verdes","npx playwright test --repeat-each=3 e -g 'raiz exibe a landing' --repeat-each=8, ambos 0 flaky","0","2026-07-28","web/e2e/app.spec.ts"
"EXA-G5-QA-002","Backlog Linear","G5","Avaliar extensão de cobertura de acessibilidade","axe-playwright hoje só roda dentro de web/e2e/app.spec.ts. Avaliar se outros fluxos (ex. vault, dashboard) precisam de cobertura própria.","P2","Backlog","Execução assistida (Claude Code)","EXA-G5-QA-001","","Relatório de cobertura entregue com recomendação","Relatório de cobertura","4","2026-08-06","web/e2e/app.spec.ts"
"EXA-G6-REL-001","Backlog Linear","G6","[ESCOPO REDUZIDO 2026-07-28] Validar onboarding de beta fechado com usuário real","Fluxo ja existe e e automatico: trigger create_personal_workspace (supabase/migrations/202607230001) + Login.tsx ja auto-provisionam workspace no cadastro. Nao precisa construir nada novo - ver 17-ONBOARDING-BETA-FECHADO.md. Falta so executar o teste de 5 min com uma pessoa real.","P1","Backlog","Product Owner","EXA-G2-BE-001;EXA-G3-SEC-001;EXA-G5-QA-001","","Pelo menos 1 usuário externo completa onboarding","Sessão gravada do fluxo completo","1","2026-08-07","docs/release/17-ONBOARDING-BETA-FECHADO.md"
"EXA-G7-DOC-001","Backlog Linear","G7","[CONTEUDO REDIGIDO 2026-07-28] Revisar juridicamente termos e privacidade","web/public/privacy.html e terms.html agora tem conteudo real e completo (LGPD, base legal, direitos do titular, sub-processadores, termos de uso), nao mais placeholder. Falta: preencher razao social/CNPJ-CPF e comarca (marcados inline), e revisao por competencia juridica antes do lancamento publico.","P0","Backlog","Product Owner","EXA-G6-REL-001","Revisão jurídica (fora do escopo de automação)","Política e termos publicados e revisados","URLs publicadas","2","2026-08-10","web/public/privacy.html;web/public/terms.html"
"EXA-G7-WORKBOOK-001","Backlog Linear","G7","Decidir destino do deskgo-business-workbook","Decidir se o gerador de 5 peças SVG de negócio vira feature/oferta do produto ou fica como skill de uso interno/consultoria, fora do app.","P3","Backlog","Product Owner","","Decisão do dono do produto","Decisão registrada em 04-RISCOS-DECISOES.md","Documento de decisão","2","2026-08-11","scratchpad/skills-review/deskgo-workbook/"
"EXA-G7-REL-002","Backlog Linear","G7","[RESOLVIDO 2026-07-28] Definir plano de suporte","Canal de suporte, SLA informal (operação solo-founder), triagem de incidentes. [SINCRONIZADO 2026-07-28] Plano de suporte real documentado em 08-OPERACAO-POS-LANCAMENTO.md (2026-07-28).","P1","Done","Product Owner","","","Documento de plano de suporte publicado","Documento de plano de suporte","3","2026-08-12","docs/release/08-OPERACAO-POS-LANCAMENTO.md"
"EXA-G8-REL-001","Backlog Linear","G8","Cortar Release Candidate","Aplicar critérios de 03-GATES-DE-RELEASE.md e criar branch/tag de RC.","P1","Backlog","Product Owner;Execução assistida (Claude Code)","EXA-G7-DOC-001;EXA-G7-REL-002","","Tag de RC criada; changelog atualizado","Tag Git + changelog","2","2026-08-13","CHANGELOG.md"
"EXA-G9-OPS-001","Backlog Linear","G9","Executar checklist de go-live","Domínio, monitoramento ativo, comunicação de lançamento, aprovação humana final e não delegável.","P0","Backlog","Product Owner","EXA-G8-REL-001","Aprovação humana explícita","Checklist assinado pelo dono do produto","Checklist preenchido","3","2026-08-14","docs/release/05-CHECKLIST-LANCAMENTO.md"
"EXA-G10-OPS-001","Backlog Linear","G10","[RESOLVIDO 2026-07-28] Definir cadência de revisão pós-lançamento","Revisões em 24h/7d/30d; métricas de ativação e retenção. [SINCRONIZADO 2026-07-28] Cadencia 24h/7d/30d definida em 08-OPERACAO-POS-LANCAMENTO.md (2026-07-28).","P2","Done","Product Owner","EXA-G9-OPS-001","","3 revisões realizadas e documentadas","Relatórios de revisão","3","2026-08-15","docs/release/08-OPERACAO-POS-LANCAMENTO.md"
"EXA-G4-GTM-001","Backlog Linear","G4","Definir cadência editorial de build-in-public do EXECUTA Journal","Publicar 1-2 artigos por semana sobre o motor 3x9x36/checkpoints/evidência antes do lançamento, usando o blog já integrado como canal de pré-lançamento (ver 14-PLANO-GTM.md secao D).","P2","Backlog","Product Owner","EXA-G4-BLOG-001","","Cadência definida e primeiro artigo publicado","Post publicado + calendário editorial","2","2026-08-04","docs/release/14-PLANO-GTM.md"
"EXA-G6-GTM-001","Backlog Linear","G6","Montar lista de convidados do beta cobrindo os 3 ICPs candidatos","Lista deliberada cobrindo indie hackers/uso de MCP, profissionais neurodivergentes e usuários avançados de PKM/Obsidian (ver 14-PLANO-GTM.md secao B) - nao apenas rede pessoal do fundador.","P1","Backlog","Product Owner","EXA-G6-REL-001","","Lista com pelo menos 2 candidatos por ICP","Lista de convidados documentada","3","2026-08-08","docs/release/14-PLANO-GTM.md"
"EXA-G6-GTM-002","Backlog Linear","G6","Instrumentar métricas mínimas de ativação e retenção","Primeiro projeto criado + primeiro checkpoint concluído (ativação); retorno em semana diferente (retenção semanal) - minimo necessario antes do beta, nao antes (ver 14-PLANO-GTM.md secao E e 08-OPERACAO-POS-LANCAMENTO.md).","P1","Backlog","Execução assistida (Claude Code)","EXA-G6-REL-001","","Eventos de ativação/retenção capturados por usuário convidado","Evidência de instrumentação + dado de pelo menos 1 usuário","4","2026-08-09","docs/release/14-PLANO-GTM.md"
"EXA-G7-GTM-001","Backlog Linear","G7","Decidir e registrar o caminho de modelo de negócio (i/ii/iii)","Confirmar ou revisar a recomendação do caminho hibrido (ii) de 14-PLANO-GTM.md secao A, com base no resultado real do beta fechado (G6). Registrar decisao formal em 04-RISCOS-DECISOES.md.","P0","Backlog","Product Owner","EXA-G6-GTM-001;EXA-G6-GTM-002","Resultado do beta fechado","Decisão registrada em 04-RISCOS-DECISOES.md","Documento de decisão","2","2026-08-10","docs/release/14-PLANO-GTM.md"
"EXA-G7-GTM-002","Backlog Linear","G7","Validar hipótese de pricing com usuários do beta (condicional)","So aplicavel se EXA-G7-GTM-001 confirmar caminho (ii) ou (iii). Validar em entrevista os 3 tiers hipoteticos de 14-PLANO-GTM.md secao C antes de qualquer implementacao de billing.","P2","Backlog","Product Owner","EXA-G7-GTM-001","","Pricing validado ou descartado com evidência de entrevista","Notas de entrevista","3","2026-08-11","docs/release/14-PLANO-GTM.md"
"EXA-G9-GTM-001","Backlog Linear","G9","[RESOLVIDO 2026-07-28] Mensagem de lançamento preparada","Rascunho pronto em 16-MENSAGEM-DE-LANCAMENTO.md: Show HN, Product Hunt, LinkedIn/X, comunidades PKM. Revisar tom/numeros antes de publicar de fato; nao publicar antes de EXA-G7-GTM-001 (decisao de modelo de negocio).","P1","Done","Execução assistida (Claude Code)","EXA-G8-REL-001","","Mensagem escrita e lista de canais priorizada","docs/release/16-MENSAGEM-DE-LANCAMENTO.md","3","2026-07-28","docs/release/16-MENSAGEM-DE-LANCAMENTO.md"
"GAP-016","Decisions/Gaps Doc","G7","Formalizar destino do pacote AMES (Adaptive Multi-format Editorial System)","O pacote AMES do antigo PR #4 foi mesclado na main, mas os validadores internos do aplicativo nao executam a skill homonima -- as chaves deskgo/frankwatching/ames em resultados de qualidade sao regras internas deterministicas, nao a execucao das skills reais. Decidir: separar especificacao/skill do runtime, formalizar integracao real, ou arquivar/remover o pacote da main.","P2","Backlog","Product Owner","","Decisao do dono do produto","Decisao registrada em 04-RISCOS-DECISOES.md","Documento de decisao","","","docs/13_DECISIONS_GAPS_ASSUMPTIONS.md;AGENTS.md"
